sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
6,card-carousel,"{heading: 'The Context Communication Spectrum', cards: [{title: 'High-Context', content: 'Japan, Korea, Arab countries: Meaning is in what\\'s NOT said. Context, relationships, and non-verbals carry the message. \"Read the air.\" Explicit communication can be rude, even insulting.'}, {title: 'Low-Context', content: 'Germany, Netherlands, Scandinavia: Meaning is in the words. Clear, explicit, detailed communication is professional. \"Say what you mean.\" Assuming context understanding is risky.'}, {title: 'The Middle', content: 'USA, UK, Australia: Medium-context, situation-dependent. Business tends low-context, social tends higher-context. Code-switching is common and expected.'}]}",getNextChunk,7,"Workplace Success","Cultural Intelligence","Being In-Sync"
7,system,"Here's what this means practically:",getNextChunk,8,"Workplace Success","Cultural Intelligence","Being In-Sync"
8,system,"High-context: 'We need to revisit the Johnson account' might mean 'There's a serious problem that requires your immediate attention, and you should know what it is based on yesterday's meeting, the client's history, and the tone of my voice.'",getNextChunk,9,"Workplace Success","Cultural Intelligence","Being In-Sync"
9,system,"Low-context: 'We need to revisit the Johnson account' means exactly that and nothing more. Without specifics (what aspect? why? when? what's the desired outcome?), it's an incomplete communication.",getNextChunk,10,"Workplace Success","Cultural Intelligence","Being In-Sync"
10,aporia-system,"You're writing an important project update for a multicultural team. How do you balance high and low context needs?",getNextChunk,10.1|10.2|10.3,"Workplace Success","Cultural Intelligence","Being In-Sync"
10.1,aporia-user,"Write two versions—detailed and summary",getNextChunk,10.1.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
10.2,aporia-user,"Use layers—headline, context, details, implications",getNextChunk,10.2.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
10.3,aporia-user,"Include explicit information but highlight what matters",getNextChunk,10.3.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
10.1.1,system,"Extra work but could be effective! Send the summary to high-context readers (they'll fill in gaps) and detailed to low-context readers (they need specifics). Risk: maintaining two versions gets complex, and you might miss nuances in translation.",getNextChunk,11,"Workplace Success","Cultural Intelligence","Being In-Sync"
10.2.1,system,"Brilliant structure! High-context readers can get the gist from headlines and context, then stop. Low-context readers can dive into details. Everyone gets what they need at their preferred depth. This is advanced CQ Action.",getNextChunk,11,"Workplace Success","Cultural Intelligence","Being In-Sync"
10.3.1,system,"Smart compromise! Provide all information (satisfying low-context needs) but use formatting, order, and emphasis to signal importance (helping high-context readers navigate). Bold key points, use bullet points for details, include exec summary.",getNextChunk,11,"Workplace Success","Cultural Intelligence","Being In-Sync"
11,system,"But context isn't just about words—it's also about space. Hall's research on proxemics reveals how cultures use physical space to communicate:",getNextChunk,12,"Workplace Success","Cultural Intelligence","Being In-Sync"
12,card-carousel,"{heading: 'Space Speaks: Proxemics in the Workplace', cards: [{title: 'Close Space Cultures', content: 'Mediterranean, Middle East, Latin America: Closer physical proximity shows engagement. Touching is normal. Distance signals coldness. Open office layouts work well.'}, {title: 'Distant Space Cultures', content: 'North America, Northern Europe, Asia: Personal space is sacred. Touching is intimate or aggressive. Professional distance shows respect. Private offices preferred.'}, {title: 'Virtual Space', content: 'Video calls reveal space norms: Americans show faces, Japanese show torsos, Indians might include family in background. Same meeting, different spatial boundaries.'}]}",getNextChunk,13,"Workplace Success","Cultural Intelligence","Being In-Sync"
13,system,"This affects everything from office design to video call etiquette. An Italian standing 'too close' isn't being aggressive—they're being engaged. A Norwegian standing 'too far' isn't being cold—they're being respectful.",getNextChunk,14,"Workplace Success","Cultural Intelligence","Being In-Sync"
14,system,"## Part 2: TIME - Being In Rhythm Across Cultures",getNextChunk,14.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
14.1,system,"Now let's tackle time—one of the deepest cultural programs and biggest sources of workplace friction.",getNextChunk,15,"Workplace Success","Cultural Intelligence","Being In-Sync"
15,card-carousel,"{heading: 'Two Times: Monochronic vs. Polychronic', cards: [{title: 'Monochronic (M-Time)', content: 'Germany, Switzerland, USA, UK: Time is linear, segmented, finite. One thing at a time. Punctuality is professionalism. Interruptions are rude. Schedule is sacred.'}, {title: 'Polychronic (P-Time)', content: 'Latin America, Middle East, Africa, South Asia: Time is flexible, circular, abundant. Multiple parallel activities. Relationships trump schedules. Interruptions are life. Adaptability is valued.'}, {title: 'The Clash', content: 'M-Time sees P-Time as chaotic, disrespectful, unprofessional. P-Time sees M-Time as rigid, cold, missing opportunities. Both are right in their context.'}]}",getNextChunk,16,"Workplace Success","Cultural Intelligence","Being In-Sync"
16,system,"Here's the crucial insight: it's not about being 'on time' or 'late'—it's about completely different concepts of what time IS.",getNextChunk,17,"Workplace Success","Cultural Intelligence","Being In-Sync"
17,system,"Monochronic: 2 PM meeting means 2:00:00 PM. Being five minutes late wastes five minutes of everyone's time. That's disrespectful and inefficient.",getNextChunk,18,"Workplace Success","Cultural Intelligence","Being In-Sync"
18,system,"Polychronic: 2 PM meeting means approximately early afternoon. Finishing your current relationship before starting the next shows respect. Juggling multiple priorities is efficient.",getNextChunk,19,"Workplace Success","Cultural Intelligence","Being In-Sync"
19,aporia-system,"You're scheduling a global team meeting across time zones AND time orientations. How do you manage this?",getNextChunk,19.1|19.2|19.3,"Workplace Success","Cultural Intelligence","Being In-Sync"
19.1,aporia-user,"Set clear expectations and enforce them strictly",getNextChunk,19.1.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
19.2,aporia-user,"Build buffer time and flexible participation options",getNextChunk,19.2.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
19.3,aporia-user,"Different meeting types for different purposes",getNextChunk,19.3.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
19.1.1,system,"This satisfies M-time cultures but might alienate P-time members. They might comply superficially but disengage emotionally. You get bodies in seats but not minds in the game. Plus, 'strict' has different meanings across cultures.",getNextChunk,20,"Workplace Success","Cultural Intelligence","Being In-Sync"
19.2.1,system,"Smart cultural bridge! Start officially at 2:00 but begin content at 2:10. Record for async participation. Allow dial-in while multitasking. M-timers can join promptly, P-timers can flow in. Everyone gets something.",getNextChunk,20,"Workplace Success","Cultural Intelligence","Being In-Sync"
19.3.1,system,"Sophisticated approach! 'Stand-ups' are M-time (quick, punctual, focused). 'Working sessions' are P-time (flexible, relational, multithreaded). Match meeting style to purpose and let people self-select based on comfort.",getNextChunk,20,"Workplace Success","Cultural Intelligence","Being In-Sync"
20,system,"Let's see how context and time intersect in real workplace scenarios:",getNextChunk,21,"Workplace Success","Cultural Intelligence","Being In-Sync"
21,system,"Scenario: Project deadline is 'end of day Friday.'",getNextChunk,22,"Workplace Success","Cultural Intelligence","Being In-Sync"
22,card-carousel,"{heading: 'Same Deadline, Different Interpretations', cards: [{title: 'Low-Context + M-Time', content: 'German interpretation: Friday 5:00:00 PM local time, completed, tested, documented. No exceptions. Plan backward from this fixed point.'}, {title: 'High-Context + P-Time', content: 'Brazilian interpretation: Sometimes Friday, unless something important comes up. \"End of day\" depends on context—could be midnight if needed. Quality matters more than arbitrary deadline.'}, {title: 'Mixed Signals', content: 'American (low-context, medium M-time): Friday COB means \"Friday unless you tell me otherwise.\" Japanese (high-context, strong M-time): Must deliver Friday but won\\'t explicitly say if there are problems.'}]}",getNextChunk,23,"Workplace Success","Cultural Intelligence","Being In-Sync"
23,system,"The solution isn't making everyone adopt one style—it's creating systems that translate between styles:",getNextChunk,24,"Workplace Success","Cultural Intelligence","Being In-Sync"
24,system,"The CLEAR Framework for Cross-Cultural Coordination:",getNextChunk,25,"Workplace Success","Cultural Intelligence","Being In-Sync"
25,card-carousel,"{heading: 'CLEAR: Making Coordination Explicit', cards: [{title: 'C - Context Provided', content: 'For high-context: Why this matters, who\\'s affected, what\\'s the bigger picture. For low-context: Specific requirements, success criteria, dependencies.'}, {title: 'L - Levels of Detail', content: 'Executive summary for high-context scanners. Detailed appendices for low-context deep-divers. Middle layer for the majority. Same information, multiple depths.'}, {title: 'E - Expectations Explicit', content: 'Define \"on time\" (5 min buffer? 15?). Define \"complete\" (draft? final? tested?). Define \"urgent\" (today? this week?). Never assume shared definitions.'}, {title: 'A - Adaptation Zones', content: 'Identify what\\'s fixed (non-negotiable deadlines, quality standards) versus flexible (meeting times, communication styles, work patterns).'}, {title: 'R - Rhythm Agreements', content: 'When is M-time needed (client deliverables, production schedules)? When is P-time valuable (brainstorming, relationship building)? Match rhythm to task.'}]}",getNextChunk,26,"Workplace Success","Cultural Intelligence","Being In-Sync"
26,system,"Let's apply CLEAR to a real challenge: You're leading a product launch with team members from Japan (high-context, M-time), Brazil (high-context, P-time), Germany (low-context, M-time), and USA (medium-context, medium-time).",getNextChunk,27,"Workplace Success","Cultural Intelligence","Being In-Sync"
27,system,"Context: 'We're launching X product on Y date because of Z market opportunity (why). This affects sales, marketing, and engineering teams (who). Success means 10K users in week one (what).'",getNextChunk,28,"Workplace Success","Cultural Intelligence","Being In-Sync"
28,system,"Levels: Dashboard with key milestones (everyone scans). Detailed project plan (Germans dive deep). Narrative updates (Brazilians get story). Visual timeline (Japanese see flow).",getNextChunk,29,"Workplace Success","Cultural Intelligence","Being In-Sync"
29,system,"Expectations: 'Launch date is fixed (M-time non-negotiable). Daily standups start within 10-minute window (compromise). Complete means customer-ready, not perfect (defined standard).'",getNextChunk,30,"Workplace Success","Cultural Intelligence","Being In-Sync"
30,system,"Adaptation: 'Launch date and quality standards are fixed. Team meeting times and communication methods are flexible. Choose your update style: written, verbal, or visual.'",getNextChunk,31,"Workplace Success","Cultural Intelligence","Being In-Sync"
31,system,"Rhythm: 'Development sprints are M-time (two-week fixed cycles). Design sessions are P-time (flexible creative flow). Customer meetings are matched to customer preference.'",getNextChunk,32,"Workplace Success","Cultural Intelligence","Being In-Sync"
32,aporia-system,"Think about your most frustrating collaboration. Was it a context mismatch (you needed clarity, they assumed understanding)? Or a time mismatch (you needed promptness, they prioritized relationships)?",getNextChunk,32.1|32.2|32.3,"Workplace Success","Cultural Intelligence","Being In-Sync"
32.1,aporia-user,"Context mismatch—we were speaking different languages",getNextChunk,32.1.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
32.2,aporia-user,"Time mismatch—we had different urgencies",getNextChunk,32.2.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
32.3,aporia-user,"Both—complete desynchronization",getNextChunk,32.3.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
32.1.1,system,"Next time, try the 'context ladder'—start with the highest context (big picture, relationships, implications) then ladder down to specifics. High-context folks get oriented, low-context folks get details. Everyone wins.",getNextChunk,33,"Workplace Success","Cultural Intelligence","Being In-Sync"
32.2.1,system,"Try 'time contracting'—explicitly agree on what 'urgent,' 'soon,' and 'when you can' mean in hours/days. Create M-time zones (these meetings start sharply) and P-time zones (these are flexible). Make the implicit explicit.",getNextChunk,33,"Workplace Success","Cultural Intelligence","Being In-Sync"
32.3.1,system,"Full reset needed! Start with a cultural mapping session. Have everyone share their ideal communication style and time preferences. Create a team charter that explicitly bridges differences. It feels awkward initially but prevents months of frustration.",getNextChunk,33,"Workplace Success","Cultural Intelligence","Being In-Sync"
33,system,"Here's your practical toolkit for being in-sync across cultures:",getNextChunk,34,"Workplace Success","Cultural Intelligence","Being In-Sync"
34,card-carousel,"{heading: 'Your Synchronization Toolkit', cards: [{title: 'For Emails', content: 'Subject lines that work for scanners and searchers. First paragraph has full message (high-context can stop). Details follow (low-context can continue). Clear action items with owners and dates (everyone knows what\\'s expected).'}, {title: 'For Meetings', content: 'Start with relationship building (2-5 minutes for P-time). Transition to agenda (structure for M-time). Allow tangents but time-box them. End with explicit next steps and ownership.'}, {title: 'For Projects', content: 'Define fixed versus flexible elements upfront. Create multiple communication channels (written for low-context, verbal for high-context). Build buffers between M-time and P-time dependent tasks.'}, {title: 'For Conflicts', content: 'When context assumptions clash, make the implicit explicit. When time orientations clash, find the business reason for each preference. Often both are right for different reasons.'}]}",getNextChunk,35,"Workplace Success","Cultural Intelligence","Being In-Sync"
35,system,"Remember: being 'clear' is culturally relative. Being 'on time' is culturally defined. Being 'professional' is culturally constructed. Your CQ superpower is recognizing these differences and building bridges.",getNextChunk,36,"Workplace Success","Cultural Intelligence","Being In-Sync"
36,system,"A final thought: High-context communication evolved in stable, long-term communities where shared understanding developed over time. Low-context evolved in diverse, mobile societies where explicitness was survival.",getNextChunk,37,"Workplace Success","Cultural Intelligence","Being In-Sync"
37,system,"Monochronic time evolved in industrial societies where synchronization meant efficiency. Polychronic time evolved in relationship-based societies where flexibility meant survival.",getNextChunk,38,"Workplace Success","Cultural Intelligence","Being In-Sync"
38,system,"Neither is right or wrong—they're adaptations to different environments. Your job isn't to judge but to navigate, not to convert but to connect.",getNextChunk,39,"Workplace Success","Cultural Intelligence","Being In-Sync"
39,aporia-system,"As we close this Cultural Intelligence sequence, what's one specific change you'll make this week to better sync with colleagues from different cultural backgrounds?",getNextChunk,39.1|39.2|39.3,"Workplace Success","Cultural Intelligence","Being In-Sync"
39.1,aporia-user,"I'll add more context to my communications",getNextChunk,39.1.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
39.2,aporia-user,"I'll be more flexible with time expectations",getNextChunk,39.2.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
39.3,aporia-user,"I'll explicitly discuss working styles with my team",getNextChunk,39.3.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
39.1.1,system,"Excellent start! Try this: Before sending your next important email, add one sentence of context about WHY this matters and one about WHO it affects. Watch how high-context colleagues engage more deeply while low-context colleagues appreciate the clarity.",getNextChunk,40,"Workplace Success","Cultural Intelligence","Being In-Sync"
39.2.1,system,"Great cultural stretch! Start small: In your next meeting, build in a 5-minute buffer. Use it for relationship building if people are prompt, or as grace period if they're not. Notice how this reduces stress for everyone.",getNextChunk,40,"Workplace Success","Cultural Intelligence","Being In-Sync"
39.3.1,system,"This is advanced CQ leadership! Create a 'working style inventory'—have everyone share their preferences for communication detail, time flexibility, and feedback style. Post it where everyone can reference it. Watch collaboration improve immediately.",getNextChunk,40,"Workplace Success","Cultural Intelligence","Being In-Sync"
40,system,"Congratulations! You've completed the Cultural Intelligence sequence. You now have frameworks for understanding power and relationships, dealing with uncertainty, building consensus, and synchronizing action across cultural differences.",getNextChunk,41,"Workplace Success","Cultural Intelligence","Being In-Sync"
41,system,"But knowledge isn't intelligence. Intelligence is applying knowledge adaptively. So go practice. Make mistakes. Reflect. Adjust. Build your CQ through experience.",getNextChunk,42,"Workplace Success","Cultural Intelligence","Being In-Sync"
42,system,"Remember: every cultural 'problem' is actually two valid solutions to different challenges. Your CQ edge isn't choosing sides—it's building bridges.",getNextChunk,43,"Workplace Success","Cultural Intelligence","Being In-Sync"
43,media,"StudyGuides/cq_complete_summary.pdf",getNextChunk,44,"Workplace Success","Cultural Intelligence","Being In-Sync"
44,system,"Next in your Workplace Success journey: Emotional Intelligence. You'll learn to recognize, understand, and work with emotions—your own and others'—leveraging what you've learned about cultural differences in emotional expression and interpretation.",getNextModule,,"Workplace Success","Cultural Intelligence","Being In-Sync"
