sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
13,card-carousel,"{""heading"": ""Core Concepts"", ""cards"": [{""title"": ""Communication"", ""content"": ""Communication is much more than transmitting information, or getting your listeners to understand what you mean—it's a process of mutual sharing, of sending and receiving meaning, that is just as dependent on context as it is on knowing what you're talking about.""}, {""title"": ""Emotional Intelligence"", ""content"": ""Emotional Intelligence (EQ) emerged in psychological research as a way of explaining why individuals with average cognitive intelligence (IQ) often outperformed high-IQ-havers in the long term. Since then, it's developed as a sophisticated measure of the ability to recognize emotions in others—and to work with them in ourselves.""}, {""title"": ""Cultural Intelligence"", ""content"": ""Like EQ, Cultural Intelligence (CQ) emerged in response to a problem in the data: Why do some people with high EQ fail to transition well to working and living in new cultures? Culture here might refer to the culture of a nation or religion, but it works just as well in the context of workplaces and teams. CQ is a multifaceted concept, with cognitive, motivational, and behavioral dimensions. It's the most 'meta' of the three main topics in our learning path, and is where we'll start first.""}]}",getNextAporia-User,13.1,"Workplace Success","Introduction","Introduction to Workplace Success"
13.1,aporia-user,"Got it. Let's move on",getNextAporia-System,14,"Workplace Success","Introduction","Introduction to Workplace Success"
14,aporia-system,"Why start with Cultural Intelligence (CQ)? There's a Ph.D.-level explanation why, but it might be easier to walk you through an example of a big, real-world problem in a working relationship that shows just how powerful CQ can be, rather than waiting for you to finish your doctoral dissertation. Ready to jump in?",getNextAporia-User,14.1 | 14.2,"Workplace Success","Introduction","Introduction to Workplace Success"
14.1,aporia-user,"Sure, let's do it!",getNextChunk,15,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2,aporia-user,"Hit me with that expert-level explanation first.",getNextAporia-System,14.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1,aporia-system,"Communication is the most straightforward of the three topics we'll be covering, but successful communication depends in large part on high levels of both CQ and EQ. Both are important to cover, but our experts feel CQ should take precedence because of the relationship between CQ and EQ themselves: while both are forms of social intelligence, the expression—and therefore legibility—of emotion varies depending on cultural context. This means that first giving you the tools to discern cultural variance in emotions and behavior seems a natural choice. As Earley and Ang write in their influential 2003 work, 'When people interact with others from different cultural backgrounds, many, if not most, of the common cues for understanding and predicting the other's moods, emotions, and intent are unavailable or easily misattributed. However, some individuals [i.e. those with high CQ] are able to quickly integrate themselves into social gatherings, command effective action from work units, and so forth, whereas others [with low CQ] are quite ineffective' (Earley and Ang 2003, 12). Make sense?",getNextAporia-User,14.2.1.1 | 14.2.1.2,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1,aporia-user,"Actually yes!",getNextAporia-System,14.2.1.1.1,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.2,aporia-user,"Actually no, not at all!",getNextChunk,14.2.1.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1.1,system,"Great! This should go smoothly for you. While we're thinking about it, though, do you have any interest in joining our growing team? We're always looking for exceptionally talented people to join our team.",getNextAporia-User,14.2.1.1.1.1 | 14.2.1.1.1.2,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.2.1,system,"No sweat! We said the expert-level explanation would be hard to understand for a reason. Let's jump into our example scenario, which should help make it clear how CQ, EQ, and Communication work together in the real world—and why we're talking about CQ first in our learning path.",getNextChunk,15,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1.1.1,aporia-user,"Yes, I'm interested!",getNextChunk,14.2.1.1.1.1.1,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1.1.2,aporia-user,"No thanks! I've already got one team I'm trying to succeed on.",getNextChunk,14.2.1.1.1.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1.1.1.1,system,"Great! Here's a link to upload your resume.",getNextChunk,14.2.1.1.1.1.2,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1.1.1.2,system,"In the meantime, let's get started with the first example.",getNextChunk,15,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1.1.2.1,system,"Ah man! The loss is ours, we're sure.",getNextChunk,14.2.1.1.1.2.2,"Workplace Success","Introduction","Introduction to Workplace Success"
14.2.1.1.1.2.2,system,"Now, let's jump into that first example.",getNextChunk,15,"Workplace Success","Introduction","Introduction to Workplace Success"
15,system,"So here's the scenario: It's April 2001. In the contested region of the South China Sea, an American spy plane and a Chinese fighter jet have collided mid-air, resulting in the death of the Chinese pilot. Both countries release different accounts of the events that led to the crash: the PRC claims that the American plane performed a sudden, unexpected banking maneuver into the Chinese jet, while the American government states the jet's pilot was at fault. The Chinese pilot flew dangerously close to the spy plane, the Americans claim, and had a history of other dangerous maneuvers in previous encounters with American military aircraft. It's a major international incident ${ON HOVER: 'And a real one! Though it was soon overshadowed by the events of September 11, 2001 half a year later.'}, with stakes defined in human lives: after the collision, the American spy plane was forced to perform an emergency landing on a Chinese island, and the crew of 24 have been detained. China has stated they are being held so that an investigation can be conducted, while an American senator has (provocatively) claimed that they are being held hostage. The PRC demands an apology from the American government, while the USA refuses to do so. What should be done to peacefully resolve the incident?",getNextAporia-User,15.1 | 15.2 | 15.3,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1,aporia-user,"Get the two sides talking. Clearly there's been a misunderstanding here.",getNextAporia-System,15.1.1,"Workplace Success","Introduction","Introduction to Workplace Success"
15.2,aporia-user,"Contract with an unbiased third party to perform an objective investigation to determine fault.",getNextAporia-System,15.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
15.3,aporia-user,"Wait, what does this have to do with workplaces? I thought this learning path was supposed to help me with my job, which definitely isn't in international relations.",getNextAporia-System,15.3.1,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1,aporia-system,"That's a good instinct! However, the two sides have already been talking—that's kind of the problem. Saying the right thing seems to be the way to defuse the situation: China isn't demanding compensation or any other form of redress other than an apology. Yet neither government is willing to admit fault. What else can we do?",getNextAporia-User,15.1.1.1 | 15.1.1.2,"Workplace Success","Introduction","Introduction to Workplace Success"
15.2.1,aporia-system,"That's a good instinct! The facts of the incident are key to the conflict here, with both sides maintaining different versions of events. Investigations of plane crashes can take years, however, and we need a quicker solution than an investigation can provide: remember that the Americans are extremely concerned about the 24 crew members currently detained by the Chinese. What's our next step?",getNextAporia-User,15.1 | 15.3 | 15.1.1.1.1.2,"Workplace Success","Introduction","Introduction to Workplace Success"
15.3.1,aporia-system,"That's a great question! It might not be obvious at first, but the scenario actually mirrors some kinds of conflict we see in workplaces everyday. The stakes obviously aren't as high when the disagreement is between two employees about who should have priority at the printer, or within a team about the division of responsibilities. But if we boil things down, our example involves two parties at odds with one another who both have a mutual interest in moving forward but, for reasons that aren't clear yet, can't figure out how to do so—just like Bob and Steve disagree about the printer, but have a strong mutual interest in sorting things through quickly so they can get back to work. So what do we do for the US and China and their higher stakes conflict?",getNextAporia-User,15.1 | 15.2,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1.1,aporia-user,"You say the Americans and Chinese have been talking, but have they been talking in the same room? Maybe a personal meeting could lead to a breakthrough.",getNextAporia-System,15.1.1.1.1,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1.2,aporia-user,"Let's try a different tactic. Do we still have the option of launching an unbiased, third-party investigation?",getNextAporia-System,15.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1.1.1,aporia-system,"You're right that meeting face to face offers some key advantages to long-distance communication: in-person, we're able to read the emotions of those we're talking to much more easily than we can via writing or call. However, leaving aside the dynamics of international diplomacy—diplomats have orders from their bosses, so two diplomats connecting on a personal level probably can't diffuse the problem at hand, as those bosses won't feel any closer together after the diplomats having a couple of beers—let's say that American and Chinese diplomats have met in person. The meetings have been tense, with both sides displaying signs of anger and frustration. What's our next step?",getNextAporia-User,15.1.1.1.1.1 | 15.1.1.1.1.2 | 15.1.1.1.1.3,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1.1.1.1,aporia-user,"Wait, how do we know they're displaying signs of anger and frustration? Is it possible those signs are being misread?",getNextAporia-System,15.1.1.1.1.1.1,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1.1.1.2,aporia-user,"I'm stuck. Maybe we need to understand more about the motivations of both parties here to find a solution.",getNextAporia-System,16,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1.1.1.3,aporia-user,"Let's try a different tactic. Do we still have the option of launching an unbiased, third-party investigation?",getNextAporia-System,15.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
15.1.1.1.1.1.1,aporia-system,"Great questions, and great CQ! It is possible to misinterpret emotional signals in cross-cultural contacts—resolving those misunderstandings is part of what CQ is all about—but let's say for the sake of argument here that emotions are being read correctly on all sides.",getNextAporia-User,15.1.1.1.1.2 | 15.1.1.1.1.3,"Workplace Success","Introduction","Introduction to Workplace Success"
16,system,"OK, now we're getting somewhere. In this scenario, we don't have the luxury of a thorough, fact-based investigation to help us determine which party was at fault. In a high-stakes situation like this, we can safely assume that both the PRC and the USA are deploying their best communicators, but still can't get on the same page. At the same time, because those communicators are representing national rather than personal interests, individual expressions of emotion probably won't show us a path forward.",getNextChunk,17,"Workplace Success","Introduction","Introduction to Workplace Success"
17,system,"In summary, then, we don't have the time to arrive at an objective determination of fault. Options for improved communication and emotional intelligence are limited, so we're left with...some third thing. It's here that we discover the importance of Cultural Intelligence for solving the problem at hand. The motivations of both the Americans and the Chinese are shaped not only by their relative position in world affairs [ON HOVER: Remember that our scenario plays out in early 2001, before China joined the United States as the world's leading superpowers.], but by the values of their cultures.",getNextAporia-System,18,"Workplace Success","Introduction","Introduction to Workplace Success"
18,aporia-system,"With this in mind, what's our next step?",getNextAporia-User,18.1 | 18.2,"Workplace Success","Introduction","Introduction to Workplace Success"
18.1,aporia-user,"Let's talk to some experts in Chinese and American value systems to get a better understanding of how their cultures shape their motivations in this dispute.",getNextChunk,18.1.1,"Workplace Success","Introduction","Introduction to Workplace Success"
18.2,aporia-user,"Wait, how can we generalize about the values of Chinese and American cultures? We're talking about two large populations with diverse views and backgrounds. Aren't we oversimplifying things?",getNextChunk,18.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
18.1.1,system,"Great idea!",getNextChunk,19,"Workplace Success","Introduction","Introduction to Workplace Success"
18.2.1,system,"You're definitely right that the cultures of both countries are diverse. In fact, experts will tell us that no culture is unitary, especially when we're talking about culture on the national level. At the same time, however, studies in many, many academic fields repeatedly show us that, from a high enough level, cultures do differ from one another. The proof, then, is in the pudding: in this case, we see distinctly different motivations emerge between the PRC and the USA that reveal different cultural values at work.",getNextChunk,18.2.2,"Workplace Success","Introduction","Introduction to Workplace Success"
18.2.2,system,"Let's take a closer look at the motivations and values of both countries in this scenario to see how culture emerges as a differentiator in this dispute.",getNextChunk,19,"Workplace Success","Introduction","Introduction to Workplace Success"
19,system,"You reach out to experts on Chinese and American cultures [ON HOVER: In part because the best research on leadership cultures comes from the field of organization management—a staple of business schools—and in part because this *is* a learning path designed to help you succeed in the workplace, the expert understanding we'll show you will focus on business cultures rather than diplomatic ones.], and get back the following descriptions of what's at stake value-wise for each country:",getNextCardCarousel,20,"Workplace Success","Introduction","Introduction to Workplace Success"
20,card-carousel,"{""heading"": null, ""cards"": [{""title"": ""American Values"", ""content"": ""In mainstream U.S. leadership culture, *openly* admitting fault is often interpreted as a threat to one's competence, autonomy, and even legal safety. Leaders may hedge (\""mistakes were made…\"") or offer partial apologies to avoid appearing weak. This reluctance is reinforced by fear that an admission will be used against them in litigation. Understanding this norm helps multicultural teams see why U.S. colleagues can be slow to say a direct \""I was wrong,\"" even when doing so might speed collaboration.""}, {""title"": ""Chinese Values"", ""content"": ""Chinese workplace interactions revolve around **mianzi** (面子, \""face\"")—a shared sense of dignity and social credit. Because face is hierarchical, the *more powerful* party is expected to shoulder responsibility for repairing a breach—even when fault is ambiguous. A public apology from a leader actually **increases** their face by honoring the other side and demonstrating benevolent authority. Subordinates respond with deference that returns face many times over, quickly restoring harmony.""}]}",getNextAporia-User,20.1,"Workplace Success","Introduction","Introduction to Workplace Success"
20.1,aporia-user,"OK, I think I understand, but how does this help us resolve the dispute?",getNextChunk,21,"Workplace Success","Introduction","Introduction to Workplace Success"
21,system,"Well, with these understandings in mind, we now know all that we need to to find a solution to this difficult situation—just like the PRC and the USA found the real solution to this dispute in 2001. The Americans were able to craft a statement that, to Americans, offered condolences without a clear admission of fault—which avoided American anxieties about appearing weak—but which was sufficiently apologetic to the Chinese to restore their face. The American flight crew was allowed to return to the United States without issue, and diplomatic relations between the two countries were normalized.",getNextChunk,22,"Workplace Success","Introduction","Introduction to Workplace Success"
22,system,"In summary, we're putting Cultural Intelligence in the driver's seat of our learning path on workplace success because CQ is the decoder ring for everything that follows. As our earlier scenario showed—whether it's deciphering an apology standoff between the U.S. and China or just reading a co-worker's poker face—missteps happen when we assume everyone shares the same emotional signals or communication rules. Master CQ first, and suddenly EQ cues make sense and your clever communication strategies actually land.",getNextChunk,22.1,"Workplace Success","Introduction","Introduction to Workplace Success"
22.1,media,"workplace_success_study_guide.pdf",getNextChunk,23,"Workplace Success","Introduction","Introduction to Workplace Success"
23,system,"Alright, enough foreshadowing—let's jump straight into an overview of CQ: what it is, how it's measured, and how you can level yours up starting today.",getNextModule,,"Workplace Success","Introduction","Introduction to Workplace Success"
