sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
25,aporia-system,"Your team includes someone who needs everything planned (high UA) and someone who hates feeling constrained (low UA). You're starting a project with lots of unknowns. What's one specific technique you could use to help both thrive?",getNextChunk,25.1|25.2|25.3,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
25.1,aporia-user,"Create 'planning sprints'—detailed plans for short periods",getNextChunk,25.1.1,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
25.2,aporia-user,"Define 'experiment zones' where uncertainty is expected",getNextChunk,25.2.1,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
25.3,aporia-user,"Use scenario planning—multiple plans for different possibilities",getNextChunk,25.3.1,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
25.1.1,system,"Smart compromise! Two-week detailed plans satisfy the planner's need for structure, while frequent replanning satisfies the improviser's need for flexibility. Just ensure the replanning doesn't feel like failure to the high UA person—frame it as 'planned adaptation.'",getNextChunk,26,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
25.2.1,system,"Brilliant! This explicitly acknowledges that some areas will be uncertain—which paradoxically creates certainty about where uncertainty lives. The planner can focus on structuring the stable zones, while the improviser owns the experiment zones.",getNextChunk,26,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
25.3.1,system,"Excellent for high-stakes decisions! This satisfies the planner's need to think through contingencies while avoiding the improviser's fear of locked-in paths. Just be careful not to create analysis paralysis with too many scenarios.",getNextChunk,26,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
26,system,"Remember: neither high nor low uncertainty avoidance is inherently better. High UA cultures have given us Swiss watches, Japanese quality systems, and German engineering. Low UA cultures have given us Silicon Valley innovation, Swedish design thinking, and British financial innovation.",getNextChunk,27,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
27,system,"The same goes for time orientation. Long-term thinking built the Chinese economic miracle and Korean industrial conglomerates. Short-term agility created the American tech boom and British creative industries.",getNextChunk,28,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
28,system,"Your CQ superpower is knowing when to apply which approach—and how to help others bridge their different comfort zones with uncertainty.",getNextChunk,29,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
29,system,"In practice this week: Notice how your colleagues approach uncertainty. Who needs detailed plans? Who prefers to 'figure it out'? Who thinks in quarters? Who thinks in years? Then experiment with one small adjustment to bridge these differences.",getNextChunk,30,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
30,system,"Next up, we'll explore how different cultures build agreement, handle disagreement, and influence decisions—why your logical argument might fall flat in one culture while emotional appeals backfire in another.",getNextChunk,31,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
31,media,"StudyGuides/dealing_with_unknowns_summary.pdf",getNextChunk,32,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
32,system,"The future is uncertain—but your ability to navigate that uncertainty across cultures doesn't have to be.",getNextModule,,"Workplace Success","Cultural Intelligence","Dealing with Unknowns"
