sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
11.3.1,system,"That's the gap between 'espoused values' and 'enacted values'—and you've identified one of the hardest aspects of cultural adaptation. A company might say 'we value work-life balance' but reward people who answer emails at midnight. Reading these hidden cultural signals is exactly what CQ helps you do.",getNextChunk,12,"Workplace Success","Cultural Intelligence","CQ Introduction"
12,system,"This brings us to the 'intelligence' part of Cultural Intelligence. Just as IQ isn't about knowing every fact but rather your ability to learn and solve problems, CQ isn't about memorizing every cultural norm—it's about developing capabilities to navigate cultural differences effectively.",getNextChunk,13,"Workplace Success","Cultural Intelligence","CQ Introduction"
13,system,"Researchers have identified four key capabilities that make up Cultural Intelligence:",getNextChunk,14,"Workplace Success","Cultural Intelligence","CQ Introduction"
14,card-carousel,"{heading: 'The Four Capabilities of CQ', cards: [{title: 'CQ Drive (Motivation)', content: 'Your interest, confidence, and willingness to adapt behavior in culturally diverse settings. This isn\\'t about being an extrovert—it\\'s about genuine curiosity and persistence when cultural interactions get challenging.'}, {title: 'CQ Knowledge (Cognition)', content: 'Your understanding of how cultures are similar and different. This includes knowledge about how culture affects thinking and behavior, not just surface-level facts about customs and traditions.'}, {title: 'CQ Strategy (Metacognition)', content: 'Your ability to plan, monitor, and reflect on cross-cultural interactions. It\\'s about being aware of your cultural assumptions and actively checking whether they apply in new contexts.'}, {title: 'CQ Action (Behavior)', content: 'Your capability to adapt verbal and non-verbal behavior appropriately for different cultures. This is where knowledge becomes practice—actually modifying your behavior while staying authentic.'}]}",getNextChunk,15,"Workplace Success","Cultural Intelligence","CQ Introduction"
15,system,"Here's the beautiful thing about these capabilities: they're all learnable. Unlike IQ, which remains relatively stable throughout life, research shows CQ can be significantly improved through awareness, practice, and reflection.",getNextChunk,16,"Workplace Success","Cultural Intelligence","CQ Introduction"
16,aporia-system,"Based on those four capabilities, which do you think might be your strongest area right now?",getNextChunk,16.1|16.2|16.3|16.4,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.1,aporia-user,"CQ Drive—I'm genuinely curious about different perspectives",getNextChunk,16.1.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.2,aporia-user,"CQ Knowledge—I've studied or read a lot about different cultures",getNextChunk,16.2.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.3,aporia-user,"CQ Strategy—I'm good at observing and adjusting my approach",getNextChunk,16.3.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.4,aporia-user,"CQ Action—I can adapt my behavior pretty easily",getNextChunk,16.4.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.1.1,system,"Fantastic foundation! Drive is the engine of CQ development. Your curiosity will take you far, but remember—interest alone isn't enough. We'll help you channel that drive into the knowledge and strategies you need to be truly effective.",getNextChunk,17,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.2.1,system,"Great start! Knowledge is crucial, but here's a watch-out: knowing about cultures intellectually is different from knowing how to work effectively across them. We'll help you transform that knowledge into practical strategies and actions.",getNextChunk,17,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.3.1,system,"That metacognitive awareness is gold! Strategy is often the most underdeveloped CQ capability, so you're ahead of the game. We'll build on this strength to help you develop even more sophisticated cultural navigation skills.",getNextChunk,17,"Workplace Success","Cultural Intelligence","CQ Introduction"
16.4.1,system,"Behavioral flexibility is a huge asset! Just remember—adapting behavior without understanding why can sometimes backfire. We'll help you develop the knowledge and strategy to make your adaptations even more effective.",getNextChunk,17,"Workplace Success","Cultural Intelligence","CQ Introduction"
17,system,"Over the next several modules, we're going to build your CQ systematically. We won't just throw theories at you—we'll give you frameworks you can immediately apply to real workplace situations.",getNextChunk,18,"Workplace Success","Cultural Intelligence","CQ Introduction"
18,system,"Here's what's coming:",getNextChunk,19,"Workplace Success","Cultural Intelligence","CQ Introduction"
19,card-carousel,"{heading: 'Your CQ Learning Journey', cards: [{title: 'Power, Hierarchy & Relationships', content: 'How do different cultures view authority and teamwork? You\\'ll learn to navigate everything from flat organizations to strict hierarchies, and from individualist to collectivist team dynamics.'}, {title: 'Dealing with Unknowns', content: 'How do cultures approach risk, change, and planning? Understanding uncertainty avoidance and time orientation will help you work with both \"analysis paralysis\" and \"ready, fire, aim\" colleagues.'}, {title: 'Consensus Building', content: 'How do cultures argue, persuade, and make decisions? You\\'ll master the art of influence across direct and indirect communication styles, task vs. relationship focus, and different feedback norms.'}, {title: 'Being In-Sync', content: 'How do cultures coordinate and collaborate? We\\'ll cover high vs. low context communication and monochronic vs. polychronic time—crucial for everything from meetings to project management.'}]}",getNextChunk,20,"Workplace Success","Cultural Intelligence","CQ Introduction"
20,system,"Before we dive into these specific dimensions, let's address something important: cultural dimensions are tools for understanding patterns, not boxes for categorizing people.",getNextChunk,21,"Workplace Success","Cultural Intelligence","CQ Introduction"
21,system,"Think of them like weather patterns. Knowing that Seattle is generally rainy helps you prepare, but it doesn't mean it rains every single day. Similarly, knowing that German business culture tends toward direct communication doesn't mean every German colleague will be direct.",getNextChunk,22,"Workplace Success","Cultural Intelligence","CQ Introduction"
22,system,"The goal isn't to stereotype but to develop hypotheses you can test and adjust. High CQ means holding your cultural knowledge lightly—using it as a starting point for understanding, not an endpoint.",getNextChunk,23,"Workplace Success","Cultural Intelligence","CQ Introduction"
23,aporia-system,"One last thought experiment before we move on: Imagine you could instantly understand the unwritten rules of any team or organization you joined. How would that change your career trajectory?",getNextChunk,23.1|23.2|23.3,"Workplace Success","Cultural Intelligence","CQ Introduction"
23.1,aporia-user,"I'd waste less time on things that don't matter in that culture",getNextChunk,23.1.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
23.2,aporia-user,"I'd build trust and influence much faster",getNextChunk,23.2.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
23.3,aporia-user,"I'd avoid so many misunderstandings and conflicts",getNextChunk,23.3.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
23.1.1,system,"Exactly! Every culture has different 'success signals.' In some, it's long hours; in others, it's creative solutions; in still others, it's relationship building. CQ helps you identify what actually drives success in each context, so you can focus your energy strategically.",getNextChunk,24,"Workplace Success","Cultural Intelligence","CQ Introduction"
23.2.1,system,"Absolutely! Trust is culturally constructed. What builds trust in a task-oriented culture (delivering results) might be different from what builds trust in a relationship-oriented culture (personal connection). When you can build trust the way others recognize it, influence follows naturally.",getNextChunk,24,"Workplace Success","Cultural Intelligence","CQ Introduction"
23.3.1,system,"Yes! Research shows that 70% of international business failures are due to cultural misunderstandings, not technical or financial issues. On teams, cultural misalignment is the hidden tax that makes everything harder than it needs to be. CQ is about eliminating that tax.",getNextChunk,24,"Workplace Success","Cultural Intelligence","CQ Introduction"
24,system,"That's the promise of Cultural Intelligence: not just surviving in different cultural contexts, but thriving in them. Not just avoiding cultural faux pas, but leveraging cultural diversity as a competitive advantage.",getNextChunk,25,"Workplace Success","Cultural Intelligence","CQ Introduction"
25,system,"Ready to start building your CQ systematically? In our next module, we'll dive into one of the most fundamental cultural dimensions: how different cultures think about power, hierarchy, and relationships. You'll learn why your star performer approach might succeed brilliantly in New York but backfire in Tokyo—and more importantly, how to calibrate your style for any context.",getNextChunk,26,"Workplace Success","Cultural Intelligence","CQ Introduction"
26,media,"StudyGuides/cq_intro_summary.pdf",getNextChunk,27,"Workplace Success","Cultural Intelligence","CQ Introduction"
27,system,"Let's move forward. Your journey to mastering Cultural Intelligence starts now.",getNextModule,,"Workplace Success","Cultural Intelligence","CQ Introduction"
